name,url,is_official,status,generator,author
Chlumec nad Cidlinou,chlumecnc.cz,0,,,
Choceň,chocen-mesto.cz,1,200,[],[]
Chodov,mestochodov.cz,1,200,[],['Město Chodov']
Chotěboř,chotebor.cz,1,200,[],[]
Chrast,mestochrast.cz,1,200,[],[]
Chrastava,chrastava.cz,1,200,[],[]
Chropyně,muchropyne.cz,1,000,,
Chrudim,chrudim-city.cz,1,200,[],[]
Chvaletice,chvaletice.cz,1,000,,
Chyše,,0,,,
Chýnov,chynov.eu,1,200,[],['ZONER a.s.']
Chřibská,,0,,,
Cvikov,cvikov.cz,1,200,[],[]
Dačice,dacice.cz,1,200,[],['Město Dačice']
Dašice,dasice.cz,1,000,,
Desná,mesto-desna.cz,1,200,"['WordPress 4.9.24', 'Powered by WPBakery Page Builder - drag and drop page builder for WordPress.']",[]
Deštná,destna.cz,1,200,[],['Město Deštná']
Dobrovice,dobrovice.cz,1,200,[],[]
Dobruška,mestodobruska.cz,1,200,[],['Město Dobruška']
Dobřany,dobrany.cz,1,000,,
Dobřichovice,dobrichovice.cz,1,200,[],['Město Dobřichovice']
Dobříš,mestodobris.cz,1,200,[],[]
Doksy,doksy.com,1,000,,
Dolní Benešov,dolnibenesov.cz,1,200,[],['arsyline']
Dolní Bousov,dolni-bousov.cz,0,,,
Dolní Kounice,dolnikounice.cz,1,200,[],[]
Dolní Poustevna,dolnipoustevna.cz,1,200,[],['Město Dolní Poustevna']
Dolní Poustevna,interdata.cz,0,,,
Domažlice,mesto-domazlice.cz,1,000,,
Dubá,,0,,,
Dubá,mestoduba.cz,1,000,,
Dubí,mesto-dubi.cz,1,200,[],['NEXU s.r.o.']
Dubňany,dubnany.eu,1,200,[],['Město Dubňany']
Duchcov,mu.duchcov.cz,1,000,,
Duchcov,duchcov.cz,1,000,,
Dvůr Králové nad Labem,mudk.cz,0,,,
Františkovy Lázně,mufrlazne.cz,0,,,
Frenštát pod Radhoštěm,mufrenstat.cz,0,,,
Fryšták,frystak.cz,1,200,[],['Město Fryšták']
Frýdlant,mu-frydlant.cz,1,000,,
Frýdlant nad Ostravicí,frydlantno.cz,0,,,
Fulnek,fulnek.cz,1,200,[],[]
Golčův Jeníkov,golcuv-jenikov.cz,0,,,
Habartov,mestohabartov.cz,1,200,[],[]
Habry,,0,,,
Habry,,0,,,
Harrachov,harrachov.cz,1,000,,
Hartmanice,muhartmanice.cz,1,200,[],['SumavaNet.CZ']
Havlíčkův Brod,muhb.cz,0,,,
Hejnice,mestohejnice.cz,1,200,['Public4u'],"['as4u.cz, s.r.o.']"
Heřmanův Městec,mesto-hm.cz,0,,,
Hlinsko,hlinsko.cz,1,200,[],['Město Hlinsko']
Hluboká nad Vltavou,hluboka.cz,0,,,
Hluk,mestohluk.cz,1,200,[],['Město Hluk']
Hlučín,hlucin.cz,1,200,['Public4u'],"['as4u.cz, s.r.o.']"
Hodonín,muhodonin.cz,1,000,,
Holešov,holesov.cz,1,000,,
Holice,mestoholice.cz,1,200,[],['Digital One']
Holýšov,mestoholysov.cz,1,200,[],[]
Hora Svaté Kateřiny,horasvatekateriny.cz,1,200,[],['Město Hora Svaté Kateřiny']
Horažďovice,muhorazdovice.cz,1,000,,
Horní Benešov,hbenesov.cz,0,,,
Horní Blatná,,0,,,
Horní Bříza,hornibriza.cz,1,200,[],['město Horní Bříza']
Horní Cerekev,hornicerekev.cz,1,000,,
Horní Jelení,hornijeleni.cz,1,200,[],[]
Horní Jiřetín,hornijiretin.cz,1,200,[],['WRS - redakční systém - W Partner s.r.o.']
Horní Planá,horniplana.cz,1,200,"['Divi Child Theme v.1.0', 'WordPress 6.3.2']",[]
Horní Slavkov,muhslavkov.cz,0,,,
Horšovský Týn,muht.cz,0,,,
Hostinné,muhostinne.cz,1,404,[],[]
Hostivice,radnice.hostivice.cz,1,000,,
Hostomice,hostomice.cz,1,200,[],[]
Hostouň,hostoun.cz,1,000,,
Hořice,horice.org,1,000,,
Hořovice,mesto-horovice.cz,1,000,,
Hoštka,hostka.cz,1,200,['miroslavbaka.cz'],[]
Hradec nad Moravicí,muhradec.cz,0,,,
Hranice,mestohranice.cz,1,000,,
Hranice,mesto-hranice.cz,1,000,,
Hrob,mestohrob.cz,1,000,,
Hrochův Týnec,hrochuvtynec.cz,1,200,[],['Město Hrochův Týnec']
Hrotovice,hrotovice.cz,1,000,,
Hroznětín,mestohroznetin.cz,1,000,,
Hrušovany nad Jevišovkou,hrusovany.cz,0,,,
Hrádek,mestohradek.cz,1,000,,
Hrádek nad Nisou,muhradek.cz,0,,,
Hulín,hulin.cz,1,200,[],['Město Hulín']
Humpolec,mesto-humpolec.cz,1,000,,
Husinec,husinec.cz,1,200,[],[]
Hustopeče,hustopece-city.cz,1,000,,
